date,total_views,unique_views
2022-08-25,5,2
2022-08-26,4,1
2022-08-27,6,1
2022-08-28,6,1
2022-08-29,4,1
2022-08-30,14,2
2022-08-31,0,0
2022-09-01,51,4
2022-09-02,38,4
2022-09-03,8,2
2022-09-04,44,8
2022-09-05,15,3
2022-09-06,0,0
2022-09-07,131,2
2022-09-08,71,2
2022-09-09,0,0
2022-09-10,3,1
2022-09-11,4,1
2022-09-12,5,1
2022-09-13,0,0
2022-09-14,9,3
2022-09-15,12,2
2022-09-16,38,2
2022-09-17,0,0
2022-09-18,22,5
2022-09-19,71,8
2022-09-20,76,6
2022-09-21,0,0
2022-09-22,8,2
2022-09-23,0,0
2022-09-24,2,1
2022-09-25,3,1
2022-09-26,5,3
2022-09-27,5,1
2022-09-28,28,2
2022-09-29,54,6
2022-09-30,11,1
2022-10-01,17,2
2022-10-02,79,7
2022-10-03,114,9
2022-10-04,9,3
2022-10-05,0,0
2022-10-06,0,0
2022-10-07,1,1
2022-10-08,0,0
2022-10-09,0,0
2022-10-10,14,3
2022-10-11,0,0
